model,prompt,auc,ci_lo,ci_hi,ci_method,n_pos,n_neg,n_tied_values,n_used,n_excluded_unusable_confidence,unstable_low_positives,k8_degenerate,k8_n_levels,k8_max_single_level_mass,k8_degenerate_pooled_by_model,question_id,stream_note,row_type,spearman_rho
Llama-4-Maverick,Point-Hint,0.6983553364527629,0.6695790462123615,0.7206127525315597,BCa,66.0,1088.0,1153.0,1154,1.0,False,False,9.0,0.5797227036395147,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Maverick,Short,0.7032312925170068,0.6721622838837786,0.7243479660264932,BCa,63.0,1092.0,1154.0,1155,0.0,False,False,5.0,0.5731601731601732,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Scout,Detailed,0.552556473593333,0.5103981586779247,0.5960154632314777,BCa,141.0,994.0,1135.0,1135,20.0,False,False,8.0,0.4193832599118943,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Scout,Grid-Overlay,0.6226574193140375,0.5747524738893133,0.6665339054606636,BCa,89.0,1066.0,1155.0,1155,0.0,False,False,7.0,0.3852813852813853,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Scout,Point-Hint,0.5839648472001413,0.5458571435817431,0.6197167863668684,BCa,111.0,1020.0,1130.0,1131,24.0,False,False,10.0,0.48983200707338637,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Scout,Short,0.6943674976915974,0.6797597042513863,0.7089483394833949,BCa,72.0,1083.0,1155.0,1155,0.0,False,False,3.0,0.6354978354978355,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Mistral-Small-3.2,Detailed,0.4567108114128344,0.4158823338524546,0.4873857571249301,BCa,93.0,1062.0,1154.0,1155,0.0,False,True,7.0,0.9316017316017317,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Mistral-Small-3.2,Grid-Overlay,0.5728706767087093,0.5517833253372461,0.5851582066524775,BCa,83.0,1067.0,1150.0,1150,5.0,False,False,3.0,0.8530434782608696,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Mistral-Small-3.2,Point-Hint,0.3576221657016072,0.3086330139467619,0.4085373431179446,BCa,68.0,1087.0,1154.0,1155,0.0,False,False,6.0,0.587012987012987,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Mistral-Small-3.2,Short,0.48071176134296556,0.43281551819419417,0.5171966704459791,BCa,71.0,1084.0,1154.0,1155,0.0,False,False,6.0,0.8813852813852814,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Qwen-2.5,Detailed,0.6476817770889836,0.6221087983162601,0.6669604076742046,BCa,87.0,1068.0,1155.0,1155,0.0,False,False,5.0,0.6917748917748918,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Qwen-2.5,Grid-Overlay,0.6202107279693487,0.6078900482651654,0.6333654225991555,BCa,111.0,1044.0,1155.0,1155,0.0,False,False,5.0,0.7826839826839826,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Qwen-2.5,Point-Hint,0.4737826393789697,0.4428662481729002,0.5121573886875346,BCa,65.0,1090.0,1155.0,1155,0.0,False,False,5.0,0.44155844155844154,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Qwen-2.5,Short,0.7204669804101622,0.6844146415483773,0.7557224624503011,BCa,99.0,1056.0,1155.0,1155,0.0,False,False,4.0,0.44242424242424244,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-12B,Detailed,,0.5101001487647787,0.5892613279457362,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.5518405448037117
Gemma-3-12B,Grid-Overlay,,0.36986113083611166,0.48128901277790354,BCa,,,,1142,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.42712602243038084
Gemma-3-12B,Point-Hint,,0.5335654730769719,0.6190229223822139,BCa,,,,1109,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.5788722972402719
Gemma-3-12B,Short,,-0.12302206880825622,-0.0005723151200725336,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.061998956485304804
Gemma-3-27B,Detailed,,-0.4337500124021217,-0.32744422265294465,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.38193562151866617
Gemma-3-27B,Grid-Overlay,,-0.009531173847305088,0.11522150650393662,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.053663469666948384
Gemma-3-27B,Point-Hint,,0.06764668318625566,0.18830274189075139,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.12804098490472698
Gemma-3-27B,Short,,-0.27657268376231253,-0.17711142572838148,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.22761356109801884
Llama-4-Maverick,Detailed,,-0.5785844002602765,-0.4892266099553087,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.5354480134861184
Llama-4-Maverick,Grid-Overlay,,-0.7257956940095723,-0.659331365403623,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.6946317022348184
Llama-4-Maverick,Point-Hint,,-0.7000758441473353,-0.6339069157729025,BCa,,,,1154,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.6688077327132943
Llama-4-Maverick,Short,,-0.6893281814920473,-0.6199472454404931,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.6559113158919048
Llama-4-Scout,Detailed,,-0.5750697157130924,-0.4778011290230361,BCa,,,,1135,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.528835833292436
Llama-4-Scout,Grid-Overlay,,-0.5530939620362186,-0.4595033510153999,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.5077043544383137
Llama-4-Scout,Point-Hint,,-0.5231979905912796,-0.4194589325245587,BCa,,,,1131,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.4728708540343661
Llama-4-Scout,Short,,-0.7519396328970661,-0.6961556589126221,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.7252791321680863
Mistral-Small-3.2,Detailed,,-0.0644183542612501,0.07076132625888815,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,0.00407065340383397
Mistral-Small-3.2,Grid-Overlay,,-0.45565025448711866,-0.3700094514892559,BCa,,,,1150,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.41389922064823265
Mistral-Small-3.2,Point-Hint,,-0.24562534678014364,-0.1224736106157216,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.18407941917817888
Mistral-Small-3.2,Short,,-0.29353544147218413,-0.15080427452526643,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.2233411053794477
Qwen-2.5,Detailed,,-0.6646486813937404,-0.5904209390349834,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.6293225523408186
Qwen-2.5,Grid-Overlay,,-0.6459744425289571,-0.5747369941458769,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.6112609512450626
Qwen-2.5,Point-Hint,,-0.3670355503194473,-0.2504451498374616,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.3082705381521044
Qwen-2.5,Short,,-0.5407537547935435,-0.4448891308252067,BCa,,,,1155,,,,,,,Q5,,spearman_confidence_vs_abs_e,-0.49411424101171947
