question_id,model,prompt,confidence_level,tpr,fpr,n_at_level,n_positives,n_negatives
Q5,Gemma-3-27B,Grid-Overlay,0.95,1.0,0.9979317476732161,25,188,967
Q5,Gemma-3-27B,Grid-Overlay,1.0,1.0,1.0,2,188,967
Q5,Gemma-3-27B,Point-Hint,0.7,0.0,0.0028763183125599234,3,112,1043
Q5,Gemma-3-27B,Point-Hint,0.75,0.008928571428571428,0.06615532118887824,67,112,1043
Q5,Gemma-3-27B,Point-Hint,0.8,0.8214285714285714,0.8974113135186961,958,112,1043
Q5,Gemma-3-27B,Point-Hint,0.85,1.0,0.9990412272291467,126,112,1043
Q5,Gemma-3-27B,Point-Hint,0.95,1.0,1.0,1,112,1043
Q5,Gemma-3-27B,Short,0.8,0.013157894736842105,0.029657089898053754,33,76,1079
Q5,Gemma-3-27B,Short,0.85,1.0,0.7757182576459685,880,76,1079
Q5,Gemma-3-27B,Short,0.9,1.0,0.9462465245597775,184,76,1079
Q5,Gemma-3-27B,Short,0.95,1.0,0.9888785912882299,46,76,1079
Q5,Gemma-3-27B,Short,1.0,1.0,1.0,12,76,1079
Q5,Llama-4-Maverick,Detailed,0.5,0.007462686567164179,0.0,1,134,1021
Q5,Llama-4-Maverick,Detailed,0.6,0.007462686567164179,0.0009794319294809011,1,134,1021
Q5,Llama-4-Maverick,Detailed,0.7,0.03731343283582089,0.0068560235063663075,10,134,1021
Q5,Llama-4-Maverick,Detailed,0.8,0.44776119402985076,0.2957884427032321,350,134,1021
Q5,Llama-4-Maverick,Detailed,0.85,0.47761194029850745,0.31047992164544563,19,134,1021
Q5,Llama-4-Maverick,Detailed,0.9,0.5895522388059702,0.49853085210577863,207,134,1021
Q5,Llama-4-Maverick,Detailed,0.95,0.8731343283582089,0.6376101860920667,180,134,1021
Q5,Llama-4-Maverick,Detailed,1.0,1.0,1.0,387,134,1021
Q5,Llama-4-Maverick,Grid-Overlay,0.7,0.01282051282051282,0.002785515320334262,4,78,1077
Q5,Llama-4-Maverick,Grid-Overlay,0.8,0.7948717948717948,0.40668523676880225,496,78,1077
Q5,Llama-4-Maverick,Grid-Overlay,0.85,0.7948717948717948,0.4085422469823584,2,78,1077
Q5,Llama-4-Maverick,Grid-Overlay,0.9,1.0,0.6081708449396471,231,78,1077
Q5,Llama-4-Maverick,Grid-Overlay,0.95,1.0,0.6388115134633241,33,78,1077
Q5,Llama-4-Maverick,Grid-Overlay,1.0,1.0,1.0,389,78,1077
Q5,Llama-4-Maverick,Point-Hint,0.5,0.0,0.0009182736455463728,1,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.7,0.015151515151515152,0.006427915518824609,7,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.75,0.015151515151515152,0.008264462809917356,2,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.8,0.9393939393939394,0.566574839302112,669,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.85,0.9545454545454546,0.5684113865932048,3,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.9,1.0,0.6225895316804407,62,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.95,1.0,0.6859504132231405,69,66,1089
Q5,Llama-4-Maverick,Point-Hint,0.99,1.0,0.6887052341597796,3,66,1089
Q5,Llama-4-Maverick,Point-Hint,1.0,1.0,0.9990817263544536,338,66,1089
Q5,Llama-4-Maverick,Short,0.8,0.9365079365079365,0.5521978021978022,662,63,1092
Q5,Llama-4-Maverick,Short,0.85,0.9365079365079365,0.5531135531135531,1,63,1092
Q5,Llama-4-Maverick,Short,0.9,1.0,0.6501831501831502,110,63,1092
Q5,Llama-4-Maverick,Short,0.95,1.0,0.826007326007326,192,63,1092
Q5,Llama-4-Maverick,Short,1.0,1.0,1.0,190,63,1092
Q5,Llama-4-Scout,Detailed,0.5,0.020134228187919462,0.014910536779324055,18,149,1006
Q5,Llama-4-Scout,Detailed,0.7,0.087248322147651,0.06759443339960239,63,149,1006
Q5,Llama-4-Scout,Detailed,0.75,0.10067114093959731,0.06858846918489066,3,149,1006
Q5,Llama-4-Scout,Detailed,0.8,0.42953020134228187,0.49304174950298213,476,149,1006
Q5,Llama-4-Scout,Detailed,0.85,0.4429530201342282,0.49304174950298213,2,149,1006
Q5,Llama-4-Scout,Detailed,0.9,0.610738255033557,0.5497017892644135,82,149,1006
Q5,Llama-4-Scout,Detailed,0.95,0.8187919463087249,0.643141153081511,125,149,1006
Q5,Llama-4-Scout,Detailed,1.0,0.9463087248322147,0.9880715705765407,366,149,1006
Q5,Llama-4-Scout,Grid-Overlay,0.5,0.022988505747126436,0.04119850187265917,46,87,1068
Q5,Llama-4-Scout,Grid-Overlay,0.7,0.06896551724137931,0.08614232209737828,52,87,1068
Q5,Llama-4-Scout,Grid-Overlay,0.8,0.6666666666666666,0.4541198501872659,445,87,1068
Q5,Llama-4-Scout,Grid-Overlay,0.85,0.6666666666666666,0.45880149812734083,5,87,1068
Q5,Llama-4-Scout,Grid-Overlay,0.9,0.896551724137931,0.6956928838951311,273,87,1068
Q5,Llama-4-Scout,Grid-Overlay,0.95,0.9655172413793104,0.7265917602996255,39,87,1068
Q5,Llama-4-Scout,Grid-Overlay,1.0,1.0,1.0,295,87,1068
Q5,Llama-4-Scout,Point-Hint,0.0,0.0,0.0009671179883945841,1,121,1034
Q5,Llama-4-Scout,Point-Hint,0.1,0.0,0.0029013539651837525,2,121,1034
Q5,Llama-4-Scout,Point-Hint,0.5,0.024793388429752067,0.09187620889748549,95,121,1034
Q5,Llama-4-Scout,Point-Hint,0.6,0.024793388429752067,0.09381044487427466,2,121,1034
Q5,Llama-4-Scout,Point-Hint,0.7,0.06611570247933884,0.13249516441005801,45,121,1034
Q5,Llama-4-Scout,Point-Hint,0.8,0.7272727272727273,0.5909090909090909,554,121,1034
Q5,Llama-4-Scout,Point-Hint,0.85,0.743801652892562,0.6083172147001934,20,121,1034
Q5,Llama-4-Scout,Point-Hint,0.9,0.8347107438016529,0.7098646034816247,116,121,1034
Q5,Llama-4-Scout,Point-Hint,0.95,0.9173553719008265,0.7823984526112185,85,121,1034
Q5,Llama-4-Scout,Point-Hint,1.0,0.9173553719008265,0.9864603481624759,211,121,1034
Q5,Llama-4-Scout,Short,0.8,1.0,0.6116236162361623,734,71,1084
Q5,Llama-4-Scout,Short,0.9,1.0,0.6180811808118081,7,71,1084
Q5,Llama-4-Scout,Short,1.0,1.0,1.0,414,71,1084
Q5,Mistral-Small-3.2,Detailed,0.6,0.0,0.005649717514124294,6,93,1062
Q5,Mistral-Small-3.2,Detailed,0.7,0.8602150537634409,0.943502824858757,1076,93,1062
Q5,Mistral-Small-3.2,Detailed,0.75,0.9354838709677419,0.9670433145009416,32,93,1062
Q5,Mistral-Small-3.2,Detailed,0.8,0.978494623655914,0.9839924670433146,22,93,1062
Q5,Mistral-Small-3.2,Detailed,0.85,1.0,0.9868173258003766,5,93,1062
Q5,Mistral-Small-3.2,Detailed,0.9,1.0,0.987758945386064,1,93,1062
Q5,Mistral-Small-3.2,Detailed,0.95,1.0,1.0,13,93,1062
Q5,Mistral-Small-3.2,Grid-Overlay,0.7,0.9879518072289156,0.8386194029850746,981,83,1072
Q5,Mistral-Small-3.2,Grid-Overlay,0.8,1.0,0.9673507462686567,139,83,1072
Q5,Mistral-Small-3.2,Grid-Overlay,0.9,1.0,0.9953358208955224,30,83,1072
Q5,Mistral-Small-3.2,Point-Hint,0.7,0.029411764705882353,0.18491260349586017,203,68,1087
Q5,Mistral-Small-3.2,Point-Hint,0.75,0.029411764705882353,0.1858325666973321,1,68,1087
Q5,Mistral-Small-3.2,Point-Hint,0.8,0.5,0.7801287948482061,678,68,1087
Q5,Mistral-Small-3.2,Point-Hint,0.85,1.0,0.8693652253909844,131,68,1087
Q5,Mistral-Small-3.2,Point-Hint,0.9,1.0,0.9926402943882244,134,68,1087
Q5,Mistral-Small-3.2,Point-Hint,0.95,1.0,1.0,8,68,1087
Q5,Mistral-Small-3.2,Short,0.7,0.8309859154929577,0.8846863468634686,1018,71,1084
Q5,Mistral-Small-3.2,Short,0.75,1.0,0.9105166051660517,40,71,1084
Q5,Mistral-Small-3.2,Short,0.8,1.0,0.9132841328413284,3,71,1084
Q5,Mistral-Small-3.2,Short,0.85,1.0,0.9197416974169742,7,71,1084
Q5,Mistral-Small-3.2,Short,0.9,1.0,0.9990774907749077,86,71,1084
Q5,Mistral-Small-3.2,Short,0.95,1.0,1.0,1,71,1084
Q5,Qwen-2.5,Detailed,0.8,0.9534883720930233,0.6707202993451824,799,86,1069
Q5,Qwen-2.5,Detailed,0.85,1.0,0.744621141253508,83,86,1069
Q5,Qwen-2.5,Detailed,0.9,1.0,0.7680074836295603,25,86,1069
Q5,Qwen-2.5,Detailed,0.95,1.0,0.9579045837231057,203,86,1069
Q5,Qwen-2.5,Detailed,1.0,1.0,1.0,45,86,1069
Q5,Qwen-2.5,Grid-Overlay,0.8,1.0,0.7598086124401914,904,110,1045
Q5,Qwen-2.5,Grid-Overlay,0.85,1.0,0.8555023923444977,100,110,1045
Q5,Qwen-2.5,Grid-Overlay,0.9,1.0,0.861244019138756,6,110,1045
Q5,Qwen-2.5,Grid-Overlay,0.95,1.0,0.9904306220095693,135,110,1045
Q5,Qwen-2.5,Grid-Overlay,1.0,1.0,1.0,10,110,1045
Q5,Qwen-2.5,Point-Hint,0.8,0.07692307692307693,0.344954128440367,381,65,1090
Q5,Qwen-2.5,Point-Hint,0.85,0.9846153846153847,0.7587155963302752,510,65,1090
Q5,Qwen-2.5,Point-Hint,0.9,1.0,0.808256880733945,55,65,1090
Q5,Qwen-2.5,Point-Hint,0.95,1.0,0.9935779816513761,202,65,1090
Q5,Qwen-2.5,Point-Hint,1.0,1.0,1.0,7,65,1090
Q5,Qwen-2.5,Short,0.8,0.42424242424242425,0.19318181818181818,246,99,1056
Q5,Qwen-2.5,Short,0.85,0.98989898989899,0.6240530303030303,511,99,1056
Q5,Qwen-2.5,Short,0.9,1.0,0.8446969696969697,234,99,1056
Q5,Qwen-2.5,Short,0.95,1.0,1.0,164,99,1056
