question_id,repeat,fold,n_train_images,n_bin_0-20,n_bin_20-40,n_bin_40-60,n_bin_60-80,n_bin_80-100
Q2,10,2,923,746,86,37,30,24
Q2,10,3,926,747,87,37,31,24
Q2,10,4,926,747,87,37,31,24
Q2,11,0,922,746,86,36,30,24
Q2,11,1,923,746,86,37,30,24
Q2,11,2,923,746,86,37,30,24
Q2,11,3,926,747,87,37,31,24
Q2,11,4,926,747,87,37,31,24
Q2,12,0,922,746,86,36,30,24
Q2,12,1,923,746,86,37,30,24
Q2,12,2,923,746,86,37,30,24
Q2,12,3,926,747,87,37,31,24
Q2,12,4,926,747,87,37,31,24
Q2,13,0,922,746,86,36,30,24
Q2,13,1,923,746,86,37,30,24
Q2,13,2,923,746,86,37,30,24
Q2,13,3,926,747,87,37,31,24
Q2,13,4,926,747,87,37,31,24
Q2,14,0,922,746,86,36,30,24
Q2,14,1,923,746,86,37,30,24
Q2,14,2,923,746,86,37,30,24
Q2,14,3,926,747,87,37,31,24
Q2,14,4,926,747,87,37,31,24
Q2,15,0,922,746,86,36,30,24
Q2,15,1,923,746,86,37,30,24
Q2,15,2,923,746,86,37,30,24
Q2,15,3,926,747,87,37,31,24
Q2,15,4,926,747,87,37,31,24
Q2,16,0,922,746,86,36,30,24
Q2,16,1,923,746,86,37,30,24
Q2,16,2,923,746,86,37,30,24
Q2,16,3,926,747,87,37,31,24
Q2,16,4,926,747,87,37,31,24
Q2,17,0,922,746,86,36,30,24
Q2,17,1,923,746,86,37,30,24
Q2,17,2,923,746,86,37,30,24
Q2,17,3,926,747,87,37,31,24
Q2,17,4,926,747,87,37,31,24
Q2,18,0,922,746,86,36,30,24
Q2,18,1,923,746,86,37,30,24
Q2,18,2,923,746,86,37,30,24
Q2,18,3,926,747,87,37,31,24
Q2,18,4,926,747,87,37,31,24
Q2,19,0,922,746,86,36,30,24
Q2,19,1,923,746,86,37,30,24
Q2,19,2,923,746,86,37,30,24
Q2,19,3,926,747,87,37,31,24
Q2,19,4,926,747,87,37,31,24
Q2,20,0,922,746,86,36,30,24
Q2,20,1,923,746,86,37,30,24
Q2,20,2,923,746,86,37,30,24
Q2,20,3,926,747,87,37,31,24
Q2,20,4,926,747,87,37,31,24
Q2,21,0,922,746,86,36,30,24
Q2,21,1,923,746,86,37,30,24
Q2,21,2,923,746,86,37,30,24
Q2,21,3,926,747,87,37,31,24
Q2,21,4,926,747,87,37,31,24
Q2,22,0,922,746,86,36,30,24
Q2,22,1,923,746,86,37,30,24
Q2,22,2,923,746,86,37,30,24
Q2,22,3,926,747,87,37,31,24
Q2,22,4,926,747,87,37,31,24
Q2,23,0,922,746,86,36,30,24
Q2,23,1,923,746,86,37,30,24
Q2,23,2,923,746,86,37,30,24
Q2,23,3,926,747,87,37,31,24
Q2,23,4,926,747,87,37,31,24
Q2,24,0,922,746,86,36,30,24
Q2,24,1,923,746,86,37,30,24
Q2,24,2,923,746,86,37,30,24
Q2,24,3,926,747,87,37,31,24
Q2,24,4,926,747,87,37,31,24
Q2,25,0,922,746,86,36,30,24
Q2,25,1,923,746,86,37,30,24
Q2,25,2,923,746,86,37,30,24
Q2,25,3,926,747,87,37,31,24
Q2,25,4,926,747,87,37,31,24
Q2,26,0,922,746,86,36,30,24
Q2,26,1,923,746,86,37,30,24
Q2,26,2,923,746,86,37,30,24
Q2,26,3,926,747,87,37,31,24
Q2,26,4,926,747,87,37,31,24
Q2,27,0,922,746,86,36,30,24
Q2,27,1,923,746,86,37,30,24
Q2,27,2,923,746,86,37,30,24
Q2,27,3,926,747,87,37,31,24
Q2,27,4,926,747,87,37,31,24
Q2,28,0,922,746,86,36,30,24
Q2,28,1,923,746,86,37,30,24
Q2,28,2,923,746,86,37,30,24
Q2,28,3,926,747,87,37,31,24
Q2,28,4,926,747,87,37,31,24
Q2,29,0,922,746,86,36,30,24
Q2,29,1,923,746,86,37,30,24
Q2,29,2,923,746,86,37,30,24
Q2,29,3,926,747,87,37,31,24
Q2,29,4,926,747,87,37,31,24
Q2,30,0,922,746,86,36,30,24
Q2,30,1,923,746,86,37,30,24
Q2,30,2,923,746,86,37,30,24
Q2,30,3,926,747,87,37,31,24
Q2,30,4,926,747,87,37,31,24
Q2,31,0,922,746,86,36,30,24
Q2,31,1,923,746,86,37,30,24
Q2,31,2,923,746,86,37,30,24
Q2,31,3,926,747,87,37,31,24
Q2,31,4,926,747,87,37,31,24
Q2,32,0,922,746,86,36,30,24
Q2,32,1,923,746,86,37,30,24
Q2,32,2,923,746,86,37,30,24
Q2,32,3,926,747,87,37,31,24
Q2,32,4,926,747,87,37,31,24
Q2,33,0,922,746,86,36,30,24
Q2,33,1,923,746,86,37,30,24
Q2,33,2,923,746,86,37,30,24
Q2,33,3,926,747,87,37,31,24
Q2,33,4,926,747,87,37,31,24
Q2,34,0,922,746,86,36,30,24
Q2,34,1,923,746,86,37,30,24
Q2,34,2,923,746,86,37,30,24
Q2,34,3,926,747,87,37,31,24
Q2,34,4,926,747,87,37,31,24
Q2,35,0,922,746,86,36,30,24
Q2,35,1,923,746,86,37,30,24
Q2,35,2,923,746,86,37,30,24
Q2,35,3,926,747,87,37,31,24
Q2,35,4,926,747,87,37,31,24
Q2,36,0,922,746,86,36,30,24
Q2,36,1,923,746,86,37,30,24
Q2,36,2,923,746,86,37,30,24
Q2,36,3,926,747,87,37,31,24
Q2,36,4,926,747,87,37,31,24
Q2,37,0,922,746,86,36,30,24
Q2,37,1,923,746,86,37,30,24
Q2,37,2,923,746,86,37,30,24
Q2,37,3,926,747,87,37,31,24
Q2,37,4,926,747,87,37,31,24
Q2,38,0,922,746,86,36,30,24
Q2,38,1,923,746,86,37,30,24
Q2,38,2,923,746,86,37,30,24
Q2,38,3,926,747,87,37,31,24
Q2,38,4,926,747,87,37,31,24
Q2,39,0,922,746,86,36,30,24
Q2,39,1,923,746,86,37,30,24
Q2,39,2,923,746,86,37,30,24
Q2,39,3,926,747,87,37,31,24
Q2,39,4,926,747,87,37,31,24
Q2,40,0,922,746,86,36,30,24
Q2,40,1,923,746,86,37,30,24
Q2,40,2,923,746,86,37,30,24
Q2,40,3,926,747,87,37,31,24
Q2,40,4,926,747,87,37,31,24
Q2,41,0,922,746,86,36,30,24
Q2,41,1,923,746,86,37,30,24
Q2,41,2,923,746,86,37,30,24
Q2,41,3,926,747,87,37,31,24
Q2,41,4,926,747,87,37,31,24
Q2,42,0,922,746,86,36,30,24
Q2,42,1,923,746,86,37,30,24
Q2,42,2,923,746,86,37,30,24
Q2,42,3,926,747,87,37,31,24
Q2,42,4,926,747,87,37,31,24
Q2,43,0,922,746,86,36,30,24
Q2,43,1,923,746,86,37,30,24
Q2,43,2,923,746,86,37,30,24
Q2,43,3,926,747,87,37,31,24
Q2,43,4,926,747,87,37,31,24
Q2,44,0,922,746,86,36,30,24
Q2,44,1,923,746,86,37,30,24
Q2,44,2,923,746,86,37,30,24
Q2,44,3,926,747,87,37,31,24
Q2,44,4,926,747,87,37,31,24
Q2,45,0,922,746,86,36,30,24
Q2,45,1,923,746,86,37,30,24
Q2,45,2,923,746,86,37,30,24
Q2,45,3,926,747,87,37,31,24
Q2,45,4,926,747,87,37,31,24
Q2,46,0,922,746,86,36,30,24
Q2,46,1,923,746,86,37,30,24
Q2,46,2,923,746,86,37,30,24
Q2,46,3,926,747,87,37,31,24
Q2,46,4,926,747,87,37,31,24
Q2,47,0,922,746,86,36,30,24
Q2,47,1,923,746,86,37,30,24
Q2,47,2,923,746,86,37,30,24
Q2,47,3,926,747,87,37,31,24
Q2,47,4,926,747,87,37,31,24
Q2,48,0,922,746,86,36,30,24
Q2,48,1,923,746,86,37,30,24
Q2,48,2,923,746,86,37,30,24
Q2,48,3,926,747,87,37,31,24
Q2,48,4,926,747,87,37,31,24
Q2,49,0,922,746,86,36,30,24
Q2,49,1,923,746,86,37,30,24
Q2,49,2,923,746,86,37,30,24
Q2,49,3,926,747,87,37,31,24
Q2,49,4,926,747,87,37,31,24
