question_id,model,prompt,feature,feature_label,pct_lower_confidence,ci_lo,ci_hi,ci_method,n_with_feature,n_without_material,restricted_to_0_20_bin,clearly_above_50,clearly_below_50,multiplicity_note
Q5,Gemma-3-12B,Short,rooted_off,"rooted dead look-alike, counted off",50.74718071218266,44.62156315441757,56.60112572130199,BCa,94,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,rooted_in,"rooted dead look-alike, counted in",49.09634022215339,45.482107207874044,52.72294092317077,BCa,295,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,nonrooted_scattered,"non-rooted material, scattered",57.11633502406035,53.178027170915726,60.8518464355665,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,nonrooted_spread,"non-rooted material, spread",57.26158434567542,53.26586538480248,61.147471312376176,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,obliquity_all,"obliquity, all images",47.55505038000705,45.7126714108462,49.39147847601587,BCa,1155,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.226142997115765,49.160821166875216,53.1369648542218,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,rooted_off,"rooted dead look-alike, counted off",64.18601744347536,59.234695601641704,69.1687382496441,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,rooted_in,"rooted dead look-alike, counted in",67.82493251316546,64.77443276143033,70.82053256558056,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,nonrooted_scattered,"non-rooted material, scattered",53.18409416048902,49.77546328742525,56.70012911726346,BCa,220,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,nonrooted_spread,"non-rooted material, spread",64.01881622657064,60.71797655127978,67.42375902186598,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,obliquity_all,"obliquity, all images",56.17389542866146,54.50255794215452,57.857507312995615,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",52.292549301022596,50.53153742846173,54.132471228065796,BCa,933,,True,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",52.11377145714127,47.61145323797075,57.05536685855507,BCa,94,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",50.86272514050537,47.856068623188676,53.89452685579669,BCa,295,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",54.36435167121863,50.76497466884287,58.06005445864684,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",52.14016391455105,48.89525190686751,55.49276551084488,BCa,236,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,obliquity_all,"obliquity, all images",49.34059585706033,47.70814608526536,50.96917345038845,BCa,1155,,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,obliquity_0_20_bin,"obliquity, 0-20% bin only",50.28002796829646,48.400790256497956,52.172120208161765,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,rooted_off,"rooted dead look-alike, counted off",48.13621465474141,44.66687907778602,51.00443083002388,BCa,94,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,rooted_in,"rooted dead look-alike, counted in",47.49347258485639,45.082016192191766,49.80491158564637,BCa,295,766.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,nonrooted_scattered,"non-rooted material, scattered",52.81571075562492,50.05285618650268,55.45742691759215,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,nonrooted_spread,"non-rooted material, spread",50.99203462573653,48.531026669303984,53.290456539787044,BCa,236,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,obliquity_all,"obliquity, all images",48.28993075093595,47.01699656917845,49.58938448301576,BCa,1155,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.327817874869474,48.00342362706218,50.63740478337803,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,rooted_off,"rooted dead look-alike, counted off",61.703516471307154,59.03786302189942,63.89659454562686,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,rooted_in,"rooted dead look-alike, counted in",62.20958534318714,60.16055465481815,64.25686678037492,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,nonrooted_scattered,"non-rooted material, scattered",56.438418519963584,53.29500116857573,59.31557852587762,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,nonrooted_spread,"non-rooted material, spread",61.13727843650736,58.98214787505295,63.26482816956053,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,obliquity_all,"obliquity, all images",51.877152310427874,50.426469705381514,53.315282675876915,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.07169635998141,49.39966006227704,52.74765929658185,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,rooted_off,"rooted dead look-alike, counted off",62.31389922782068,56.63932600163041,67.41203165974109,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,rooted_in,"rooted dead look-alike, counted in",61.97282825153781,58.31620059952604,65.40323851932229,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,nonrooted_scattered,"non-rooted material, scattered",46.37306541812979,42.22020755616126,50.41462061584934,BCa,220,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,nonrooted_spread,"non-rooted material, spread",56.99546567735992,53.07377544641996,60.78606907514901,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,obliquity_all,"obliquity, all images",53.77711254660995,51.89532631263178,55.577665030671206,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.700753027982095,49.645692924940086,53.770268257208635,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",73.61188267318482,69.17677578218633,77.37777897313677,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",77.57069522502988,74.9365556887697,79.91686557488654,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",52.698985563792434,48.52024776511683,56.8164361064556,BCa,220,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",70.16621808394558,66.79568735853213,73.3061806476414,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,obliquity_all,"obliquity, all images",55.66394322026904,53.9590676558746,57.29205906088923,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,obliquity_0_20_bin,"obliquity, 0-20% bin only",53.290414878397705,51.34652554649519,55.28192283108005,BCa,933,,True,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,rooted_off,"rooted dead look-alike, counted off",72.8945904602976,68.82763238056054,76.03526909530974,BCa,94,765.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,rooted_in,"rooted dead look-alike, counted in",74.11410213803036,71.6919796339501,76.4530960601428,BCa,295,765.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,nonrooted_scattered,"non-rooted material, scattered",54.078536077103415,50.047568721592754,57.96591264084264,BCa,220,698.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,nonrooted_spread,"non-rooted material, spread",68.53145791850808,65.52059057110661,71.27972210118455,BCa,236,698.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,obliquity_all,"obliquity, all images",54.39581169460725,52.81895470017419,56.00037006134717,BCa,1154,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,obliquity_0_20_bin,"obliquity, 0-20% bin only",52.67087860669454,50.762716324799825,54.54865733254142,BCa,932,,True,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,rooted_off,"rooted dead look-alike, counted off",74.47433475918005,70.83629770471377,77.1804719550154,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,rooted_in,"rooted dead look-alike, counted in",74.76368544497058,72.42933162649939,76.9621483308934,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,nonrooted_scattered,"non-rooted material, scattered",55.77220704903109,51.7590475877053,59.54371070308921,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,nonrooted_spread,"non-rooted material, spread",71.46771416793966,68.66098449062086,74.00885280429776,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,obliquity_all,"obliquity, all images",53.620908265622305,52.02493470709558,55.20005282494109,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.73410338149584,49.821996612466776,53.68762547864878,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,rooted_off,"rooted dead look-alike, counted off",66.33982588165856,61.39921375792717,70.83309777819223,BCa,90,753.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,rooted_in,"rooted dead look-alike, counted in",61.031899798068004,57.643023525387036,64.295743940045,BCa,292,753.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,nonrooted_scattered,"non-rooted material, scattered",48.224994484446135,44.21676998317579,52.27008712782562,BCa,219,683.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,nonrooted_spread,"non-rooted material, spread",61.11135548168583,57.32217817866444,64.72777063966757,BCa,233,683.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,obliquity_all,"obliquity, all images",52.14942234031808,50.34294926366713,53.92495978902346,BCa,1135,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",50.39214324571455,48.35573261906613,52.34168305156265,BCa,930,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",64.27490139436698,59.70417083785897,68.78795287755064,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",69.03615524184626,65.87886269564886,72.00750176927552,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",54.656652360515025,50.50074678027947,58.766793264955645,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",66.03834776072355,62.6195729958855,69.40206139348062,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,obliquity_all,"obliquity, all images",51.06356959043268,49.317041779982546,52.82581359165797,BCa,1155,,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.56357037384596,47.59044477237176,51.578073939812505,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,rooted_off,"rooted dead look-alike, counted off",68.16132337871468,63.89880076420494,72.08553011438195,BCa,90,759.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,rooted_in,"rooted dead look-alike, counted in",64.60675207206197,61.61721144736078,67.58633741315954,BCa,282,759.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,nonrooted_scattered,"non-rooted material, scattered",55.93965488243803,51.968742372020515,59.7895034317942,BCa,217,685.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,nonrooted_spread,"non-rooted material, spread",65.57262614349919,62.3173445597161,68.7918270257048,BCa,229,685.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,obliquity_all,"obliquity, all images",50.802172092986865,49.06621586781405,52.529860617442274,BCa,1131,,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.830498996973446,47.85281617671536,51.75125969472214,BCa,927,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,rooted_off,"rooted dead look-alike, counted off",72.693183712016,68.97366018905423,75.48652257595487,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,rooted_in,"rooted dead look-alike, counted in",75.17148294021331,73.14182751020618,77.09960229270438,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,nonrooted_scattered,"non-rooted material, scattered",51.75965665236052,48.0700826766948,55.46952720124818,BCa,220,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,nonrooted_spread,"non-rooted material, spread",66.3963046482869,63.50580644627319,69.05558828919787,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,obliquity_all,"obliquity, all images",54.29539264894551,52.78095996903334,55.79747788747889,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.90442018685398,50.08091273596917,53.716843218983406,BCa,933,,True,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,rooted_off,"rooted dead look-alike, counted off",50.65690794955836,47.89372322826413,52.35885084355915,BCa,94,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,rooted_in,"rooted dead look-alike, counted in",49.08771075806523,47.2056052556742,50.67060375316542,BCa,295,766.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,nonrooted_scattered,"non-rooted material, scattered",51.965795291975546,50.150147658617044,53.468047064436625,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,nonrooted_spread,"non-rooted material, spread",51.50063044058098,49.6429350392998,53.08951223531524,BCa,236,699.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,obliquity_all,"obliquity, all images",49.62059315612175,48.56977218445869,50.619741543027295,BCa,1155,,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",50.662752025171464,50.10127555013823,51.310998638868405,BCa,933,,True,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",58.686817373634746,56.01706594058121,60.61168877212223,BCa,93,762.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",58.60803416522087,56.81138132630831,60.32702750563381,BCa,295,762.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",54.28303932196709,51.51356506623334,56.71664479032196,BCa,219,695.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",59.46195585904158,57.82170630790582,61.16054854969759,BCa,236,695.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,obliquity_all,"obliquity, all images",52.06357134748553,50.972087209851054,53.15990991035054,BCa,1150,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.30286798348399,49.91852193474984,52.6728578880523,BCa,928,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,rooted_off,"rooted dead look-alike, counted off",59.453641464363095,54.7739853761641,64.1131038061943,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,rooted_in,"rooted dead look-alike, counted in",55.4350134973669,52.0578438953225,58.671295454250725,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,nonrooted_scattered,"non-rooted material, scattered",59.30127454805566,55.85396766289397,62.695889192369854,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,nonrooted_spread,"non-rooted material, spread",62.22539463155597,58.799197942883715,65.56254570386584,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,obliquity_all,"obliquity, all images",47.677417902721196,45.99946074033111,49.323288134910484,BCa,1155,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.910989056484,48.06637251010775,51.66943568985016,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,rooted_off,"rooted dead look-alike, counted off",55.316371312704845,52.55557721795318,57.143296892535496,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,rooted_in,"rooted dead look-alike, counted in",53.756029561446205,51.74669628911158,55.55823948804097,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,nonrooted_scattered,"non-rooted material, scattered",56.26414358174014,54.15542086631424,58.150019817583946,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,nonrooted_spread,"non-rooted material, spread",57.277042263766646,55.51339444307057,58.9891038321509,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,obliquity_all,"obliquity, all images",49.01663328006482,47.860020585888606,50.14192315970235,BCa,1155,,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,obliquity_0_20_bin,"obliquity, 0-20% bin only",50.48565014789157,49.474438142973305,51.51082797552847,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,rooted_off,"rooted dead look-alike, counted off",68.97811232709294,65.81100935251621,71.43870359458005,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,rooted_in,"rooted dead look-alike, counted in",69.27645262645484,67.21163017819516,71.34326431070804,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,nonrooted_scattered,"non-rooted material, scattered",56.63317726622448,52.90623479696873,60.14671862867731,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,nonrooted_spread,"non-rooted material, spread",68.97898935525328,66.72601315069826,71.01030857216743,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,obliquity_all,"obliquity, all images",52.880400939326414,51.428815818294964,54.350140622173434,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.39599979759786,49.616335370505126,53.13997485078372,BCa,933,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",64.64363090939392,62.11891971648435,66.68411701139375,BCa,94,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",65.35978227198301,63.57238285767797,67.09642243350173,BCa,295,766.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",58.61783066718689,55.66471876198396,61.33079464375184,BCa,220,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",65.45064377682404,63.779501859793804,67.21524974804329,BCa,236,699.0,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,obliquity_all,"obliquity, all images",52.00649725779708,50.728465103089064,53.287536194285885,BCa,1155,,False,True,False,"24-cell interval verdicts, not corrected for multiplicity"
