check,description,passed,detail
K8,confidence non-degeneracy (Gemma-3-27B x Point-Hint),True,"n_levels=5, max_mass=0.829"
K8,confidence non-degeneracy (Gemma-3-27B x Short),True,"n_levels=5, max_mass=0.762"
K8,confidence non-degeneracy (Llama-4-Maverick x Detailed),True,"n_levels=8, max_mass=0.335"
K8,confidence non-degeneracy (Llama-4-Maverick x Grid-Overlay),True,"n_levels=6, max_mass=0.429"
K8,confidence non-degeneracy (Llama-4-Maverick x Point-Hint),True,"n_levels=9, max_mass=0.580"
K8,confidence non-degeneracy (Llama-4-Maverick x Short),True,"n_levels=5, max_mass=0.573"
K8,confidence non-degeneracy (Llama-4-Scout x Detailed),True,"n_levels=8, max_mass=0.419"
K8,confidence non-degeneracy (Llama-4-Scout x Grid-Overlay),True,"n_levels=7, max_mass=0.385"
K8,confidence non-degeneracy (Llama-4-Scout x Point-Hint),True,"n_levels=10, max_mass=0.490"
K8,confidence non-degeneracy (Llama-4-Scout x Short),True,"n_levels=3, max_mass=0.635"
K8,confidence non-degeneracy (Mistral-Small-3.2 x Detailed),False,"n_levels=7, max_mass=0.932"
K8,confidence non-degeneracy (Mistral-Small-3.2 x Grid-Overlay),True,"n_levels=3, max_mass=0.853"
K8,confidence non-degeneracy (Mistral-Small-3.2 x Point-Hint),True,"n_levels=6, max_mass=0.587"
K8,confidence non-degeneracy (Mistral-Small-3.2 x Short),True,"n_levels=6, max_mass=0.881"
K8,confidence non-degeneracy (Qwen-2.5 x Detailed),True,"n_levels=5, max_mass=0.692"
K8,confidence non-degeneracy (Qwen-2.5 x Grid-Overlay),True,"n_levels=5, max_mass=0.783"
K8,confidence non-degeneracy (Qwen-2.5 x Point-Hint),True,"n_levels=5, max_mass=0.442"
K8,confidence non-degeneracy (Qwen-2.5 x Short),True,"n_levels=4, max_mass=0.442"
