id,description,passed,detail
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-12B - Llama-4-Maverick",True,"skew=-0.115, hl_vs_median_gap=0.450"
K3,"tie burden, Gemma-3-12B - Llama-4-Maverick",True,zero_share=0.024
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-12B - Llama-4-Scout",True,"skew=-0.212, hl_vs_median_gap=0.250"
K3,"tie burden, Gemma-3-12B - Llama-4-Scout",True,zero_share=0.025
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-12B - Mistral-Small-3.2",True,"skew=0.099, hl_vs_median_gap=0.250"
K3,"tie burden, Gemma-3-12B - Mistral-Small-3.2",True,zero_share=0.038
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-12B - Qwen-2.5",True,"skew=0.455, hl_vs_median_gap=0.375"
K3,"tie burden, Gemma-3-12B - Qwen-2.5",True,zero_share=0.050
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-27B - Llama-4-Maverick",True,"skew=-0.831, hl_vs_median_gap=-0.500"
K3,"tie burden, Gemma-3-27B - Llama-4-Maverick",True,zero_share=0.018
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-27B - Llama-4-Scout",False,"skew=-1.020, hl_vs_median_gap=-0.600"
K3,"tie burden, Gemma-3-27B - Llama-4-Scout",True,zero_share=0.022
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-27B - Mistral-Small-3.2",True,"skew=-0.070, hl_vs_median_gap=0.000"
K3,"tie burden, Gemma-3-27B - Mistral-Small-3.2",True,zero_share=0.033
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Gemma-3-27B - Qwen-2.5",True,"skew=0.163, hl_vs_median_gap=-0.050"
K3,"tie burden, Gemma-3-27B - Qwen-2.5",True,zero_share=0.053
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Llama-4-Maverick - Llama-4-Scout",True,"skew=-0.810, hl_vs_median_gap=-0.438"
K3,"tie burden, Llama-4-Maverick - Llama-4-Scout",True,zero_share=0.213
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Llama-4-Maverick - Mistral-Small-3.2",True,"skew=0.247, hl_vs_median_gap=0.250"
K3,"tie burden, Llama-4-Maverick - Mistral-Small-3.2",True,zero_share=0.026
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Llama-4-Maverick - Qwen-2.5",True,"skew=0.744, hl_vs_median_gap=-0.325"
K3,"tie burden, Llama-4-Maverick - Qwen-2.5",True,zero_share=0.138
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Llama-4-Scout - Mistral-Small-3.2",True,"skew=0.664, hl_vs_median_gap=0.250"
K3,"tie burden, Llama-4-Scout - Mistral-Small-3.2",True,zero_share=0.019
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Llama-4-Scout - Qwen-2.5",True,"skew=0.899, hl_vs_median_gap=0.125"
K3,"tie burden, Llama-4-Scout - Qwen-2.5",True,zero_share=0.119
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Mistral-Small-3.2 - Qwen-2.5",True,"skew=0.423, hl_vs_median_gap=0.125"
K3,"tie burden, Mistral-Small-3.2 - Qwen-2.5",True,zero_share=0.048
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Detailed - Grid-Overlay",False,"skew=1.999, hl_vs_median_gap=-0.150"
K3,"tie burden, Detailed - Grid-Overlay",True,zero_share=0.048
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Detailed - Point-Hint",False,"skew=1.834, hl_vs_median_gap=-0.042"
K3,"tie burden, Detailed - Point-Hint",True,zero_share=0.033
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Detailed - Short",False,"skew=2.349, hl_vs_median_gap=0.083"
K3,"tie burden, Detailed - Short",True,zero_share=0.048
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Grid-Overlay - Point-Hint",True,"skew=-0.436, hl_vs_median_gap=0.083"
K3,"tie burden, Grid-Overlay - Point-Hint",True,zero_share=0.060
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Grid-Overlay - Short",True,"skew=-0.332, hl_vs_median_gap=0.000"
K3,"tie burden, Grid-Overlay - Short",True,zero_share=0.060
K2,"symmetry of paired differences (Hodges-Lehmann reading only), Point-Hint - Short",True,"skew=0.567, hl_vs_median_gap=0.167"
K3,"tie burden, Point-Hint - Short",True,zero_share=0.101
